Agency,CN ID,SON ID,Supplier Name,Supplier ABN,Description,Category,Agency Ref. ID,Publish Date,Start Date,End Date,Value (AUD)
Department of Defence,CN3483208,,FUTURA GROUP,19621002097,Design and Development of Electronic Competency Evaluation Journals,Education and Training Services,1908955771,8-Feb-18,14-Dec-17,15-Jan-19,"23,958.00"
Department of Defence,CN3483209,,HAYS SPECIALIST RECRUITMENT,47001407281,Temporary Personnel,Human resources services,1908955764,8-Feb-18,30-Nov-17,30-Jun-18,"10,831.98"
Department of Defence,CN3483210,,UNI OF SA - FINANCIAL SERVICES,37191313308,Defence delivered conferences and seminars,Conference centres,1908957121,8-Feb-18,5-Dec-17,1-Feb-18,"18,804.50"
Department of Defence,CN3483211,,F K GARDNER & SONS PTY LTD,99010136053,Contractor's Work Fee for Delivery Phase,General building construction,4501019737,8-Feb-18,11-Jan-18,28-Mar-19,"87,928.48"
Department of Defence,CN3483212,,ZANCOTT KNIGHT FACILITIES MANAGEMEN,42607759688,Building Works,Building construction and support and maintenance and repair services,4501016714,8-Feb-18,17-Jan-18,31-May-18,"101,584.92"
Department of Defence,CN3483213,SON3386051,THE REHABILITATION COMPANY PTY LTD,99073566462,Comprehensive health services - APS Rehabilitation,Comprehensive health services,4501016071,8-Feb-18,23-Jan-18,31-Oct-19,"10,000.00"
Department of Defence,CN3483214,,AURECON AUSTRALASIA PTY LTD,54005139873,Project Management,Project management,4501015570,8-Feb-18,22-Jan-18,31-May-18,"20,428.10"
Department of Defence,CN3483215,,AURECON AUSTRALASIA PTY LTD,54005139873,Project Management,Project management,4501014677,8-Feb-18,17-Jan-18,30-Jun-18,"89,160.50"
Department of Defence,CN3483216,SON2501421,ENVISTA PTY LTD,26114790215,Cyber Project and Technical Management Support Services,Information technology consultation services,4501014311,8-Feb-18,18-Jan-18,13-Jun-18,"1,218,043.20"
Department of Defence,CN3483217,,SPOTLESS FACILITY SERVICES PTY LTD,83072293880,Maintenance Works,Building construction and support and maintenance and repair services,4501013648,8-Feb-18,22-Jan-18,30-Jun-18,"49,494.64"
Department of Defence,CN3483218,,"AMAZON WEB SERVICES, INC.",ABN Exempt,Cloud based web services,Computer servers,4501009641,8-Feb-18,9-Jan-18,9-Feb-18,"29,993.25"
Department of Defence,CN3483219,,ROMTECK GRID PTY LTD,19060150370,False fire alarm fine,Alarm systems,4501005677,8-Feb-18,22-Jan-18,31-May-18,"56,832.00"
Department of Defence,CN3483220,,FUJITSU AUSTRALIA LIMITED,19001011427,Components for information technology or broadcasting or telecommunications,Components for information technology or broadcasting or telecommunications,4501001510,8-Feb-18,23-Feb-17,30-Nov-18,"94,081.16"
Department of Defence,CN3483221,SON2030181,AURECON AUSTRALASIA PTY LTD,54005139873,Lead Consultant HMAS Albatross,Environmental management,4500998549,8-Feb-18,22-Jan-18,30-Jun-18,"329,379.60"
Department of Defence,CN3483222,SON248776,POINT PROJECT MANAGEMENT,97117883173,Variation to Contract Administrator N2243B,Building construction and support and maintenance and repair services,4500964708,8-Feb-18,24-Aug-17,30-Jun-18,"15,579.41"
Department of Defence,CN3483223,SON248776,POINT PROJECT MANAGEMENT,97117883173,Tender Evaluation and Briefing Support Services,Project management,4500922577,8-Feb-18,30-Mar-16,30-Jun-18,"10,234.46"
Department of Defence,CN3483224,,"APRIVA ISS, LLC",ABN Exempt,Software Support and Maintenance,Software maintenance and support,4500840165,8-Feb-18,20-Mar-17,31-Dec-17,"201,953.08"
Department of Defence,CN3483225,,DEPARTMENT OF INDUSTRY,74599608295,Management and Adminstrative Services,Management advisory services,1908957416,8-Feb-18,7-Dec-17,30-Jun-18,"1,923,195.00"
Department of Defence,CN3483226,,DEPARTMENT OF INDUSTRY,74599608295,Management and Administrative services,Management advisory services,1908957415,8-Feb-18,7-Dec-17,30-Jun-18,"6,461,060.00"
Department of Defence,CN3483227,,DARWIN CONVENTION CENTRE,14112960808,Conference Centre Hire,Conference centres,1908957366,8-Feb-18,18-Dec-17,18-Jan-18,"14,327.00"
Department of Defence,CN3483228,,INCHCAPE SHIPPING SERVICES - DUBAI,ABN Exempt,HMAS Choules Port Visit - Napier 16-20 Oct 17,Military watercraft,1908957363,8-Feb-18,6-Dec-17,19-Jan-18,"114,492.86"
Department of Defence,CN3483229,,INCHCAPE SHIPPING SERVICES - DUBAI,ABN Exempt,Port Visit Costs HMAS Choules - Auckland,Military watercraft,1908957228,8-Feb-18,16-Nov-17,16-Nov-17,"46,598.74"
Department of Defence,CN3483230,,PRAESIDIUM GLOBAL PTY LTD,18612933721,AID 16 - Mule Trial,Professional engineering services,1908957164,8-Feb-18,9-Nov-17,30-Jun-18,"134,462.61"
Department of Defence,CN3483231,,INCHCAPE SHIPPING SERVICES - DUBAI,ABN Exempt,port visit fees,Management support services,1908957163,8-Feb-18,15-Nov-17,28-Jan-18,"133,131.93"
Department of Defence,CN3483232,,INCHCAPE SHIPPING SERVICES - DUBAI,ABN Exempt,Port Visit Fees,Management support services,1908957162,8-Feb-18,13-Dec-17,25-Jan-18,"183,008.00"
Department of Defence,CN3483233,,BIDFOOD AUSTRALIA LIMITED,33000228231,DRY GOODS,Meat and poultry products,1908957161,8-Feb-18,12-Dec-17,12-Dec-17,"30,887.28"
Department of Defence,CN3483234,,SCHIAVELLO SYSTEMS ACT PTY LTD,66605443909,Fix and accredit Kaba locks for class B safes,Locks and security hardware and accessories,1908957124,8-Feb-18,30-Nov-17,30-Nov-17,"30,580.00"
Department of Defence,CN3483235,,PRAESIDIUM GLOBAL PTY LTD,18612933721,AID 16 - Trial of System,Professional engineering services,1908957122,8-Feb-18,19-Dec-17,30-Jun-18,"56,127.01"
Department of Defence,CN3483236,,SPOTLESS FACILITY SERVICES PTY LTD,83072293880,Building Works,Building construction and support and maintenance and repair services,4501038767,8-Feb-18,19-Jan-18,31-May-18,"151,739.28"
Department of Defence,CN3483237,,CURTIN UNI OF TECHNOLOGY FINANCIAL,99143842569,Collaborative Research and Development Project,Military science and research,4501038766,8-Feb-18,19-Jan-18,15-Jan-19,"33,000.00"
Department of Defence,CN3483238,SON3399501,JACOBS GROUP (AUSTRALIA) PTY LTD,37001024095,Project Manager Contract Administrator - Development Services,Building construction and support and maintenance and repair services,4501038764,8-Feb-18,19-Jan-18,31-Dec-18,"265,820.50"
Department of Defence,CN3483239,,INNOLAS MANAGEMENT SERVICES GMBH &,ABN Exempt,Laser System,Military science and research,4501038761,8-Feb-18,18-Jan-18,11-Apr-18,"156,211.42"
Department of Defence,CN3483240,,HAYS SPECIALIST RECRUITMENT,47001407281,Lectora Developer Instructional Designer,Computer programmers,4501038755,8-Feb-18,18-Jan-18,29-Jun-18,"88,416.00"
Department of Defence,CN3483241,SON661641,ETHAN GROUP PTY LTD,93099503456,Computer equipment and accessories,Computer Equipment and Accessories,4501038749,8-Feb-18,16-Jan-18,31-May-18,"29,326.00"
Department of Defence,CN3483242,,BOEING DEFENCE AUSTRALIA LTD,64006678119,IT Support,Information technology consultation services,4501038741,8-Feb-18,30-May-18,30-Jun-20,"90,273.66"
Department of Defence,CN3483243,SON661641,DATA 3 GROUP,31010545267,Computer Equipment and Accessories,Computer Equipment and Accessories,4501038738,8-Feb-18,18-Jan-18,30-May-18,"344,541.40"
Department of Defence,CN3483244,,UNIVERSITY OF TECHNOLOGY SYDNEY,77257686961,Innovative Architecture for Military Structures,Software or hardware engineering,4501038736,8-Feb-18,18-Jan-18,31-Oct-18,"111,385.23"
Department of Defence,CN3483245,SON2901652,THERMOVOLTAIC TECHNOLOGIES PTY,76168908683,Data Analysis and Computer Modelling,Software or hardware engineering,4501038726,8-Feb-18,18-Jan-18,20-Dec-19,"439,200.00"
Department of Defence,CN3483246,,THE GOOD PHYSIO,20526576190,Support to Air Combat Group,Healthcare provider support persons,4501038725,8-Feb-18,18-Jan-18,30-Jun-19,"170,500.00"
Department of Defence,CN3483247,,PRAESIDIUM GLOBAL PTY LTD,18612933721,Transportation,Professional engineering services,4501038721,8-Feb-18,2-Jan-18,30-Jun-18,"161,745.01"
Department of Defence,CN3483248,SON3295723,DATA 3 LIMITED,31010545267,Data Storage System,Computer Equipment and Accessories,4501038709,8-Feb-18,18-Jan-18,27-Apr-18,"62,350.45"
Department of Defence,CN3483249,,UNIVERSITY OF NEW SOUTH WALES,57195873179,Research Agreement Services,Professional engineering services,4501038698,8-Feb-18,18-Jan-18,30-Jun-19,"363,000.00"
Department of Defence,CN3483250,SON3373673,AUSTRALIAN BEDDING COMPANY PTY LTD,62075106473,Accommodation Furniture,Furniture,4501038694,8-Feb-18,17-Jan-18,30-Jun-18,"36,382.50"
Department of Defence,CN3483251,,BUSINESS SERVICES,37191313308,Research Agreement,Professional engineering services,4501038692,8-Feb-18,18-Jan-18,25-May-18,"78,150.60"
Department of Defence,CN3483252,,QINETIQ,68125805647,"Design, Manufacture and Install Acoustic Enclosure",Fabricated structural assemblies,4501038686,8-Feb-18,18-Jan-18,30-Mar-18,"120,204.48"
Department of Defence,CN3483253,,JOHN MORRIS SCIENTIFIC PTY LTD,81001768396,Digital Hydrometer,Laboratory and scientific equipment,4501038685,8-Feb-18,18-Jan-18,27-Apr-18,"38,688.91"
Department of Defence,CN3483254,,FIRE TESTING TECHNOLOGY LTD,ABN Exempt,Smoke Density Measuring System,Laboratory and scientific equipment,4501038684,8-Feb-18,18-Jan-18,20-Apr-18,"15,199.16"
Department of Defence,CN3483255,,UNITED BOOK DISTRIBTORS,28004815703,Books for Participants of Development Programs,Printed publications,4501038677,8-Feb-18,18-Jan-18,22-Mar-18,"14,516.70"
Department of Defence,CN3483256,SON3319689,CALTEX AUSTRALIA PETROLEUM P / L,17000032128,GROUND FUEL,Fuels,4501038665,8-Feb-18,17-Jan-18,5-Feb-18,"11,567.87"
Department of Defence,CN3483257,SON3373673,SCHIAVELLO INTERNATIONAL PTY LTD,47093924353,Furniture for Refurbishment of ADC Sports Section,Office furniture,4501038660,8-Feb-18,17-Jan-18,30-Jan-18,"38,155.70"
Department of Defence,CN3483258,SON3373673,HARVEY NORMAN COMMERCIAL DIVISION,11530188684,LIA Furniture,Furniture,4501038659,8-Feb-18,17-Jan-18,30-Jun-18,"24,200.00"
Department of Defence,CN3483259,SON661641,DELL AUSTRALIA PTY LIMITED,46003855561,Computer Equipment and Accessories,Computer Equipment and Accessories,4501038658,8-Feb-18,17-Jan-18,30-May-18,"235,611.20"
Department of Defence,CN3483260,SON3295723,HP PPS AUSTRALIA PTY LTD,16603480628,Computer Equipment and Accessories,Computer Equipment and Accessories,4501038657,8-Feb-18,17-Jan-18,30-May-18,"63,163.10"
Department of Defence,CN3483261,,JOSAMILA PTY LTD,15167166850,Defence Cooperative Research Centre Chair,Management advisory services,4501038770,8-Feb-18,19-Jan-18,30-May-18,"124,000.00"
Department of Defence,CN3483262,,KING & WOOD MALLESONS,22041424954,DL0314/2017 - Legal Services,Legal services,4600001162,8-Feb-18,18-Jan-18,31-Jan-20,"7,324,042.00"
Department of Defence,CN3483263,,INMARSAT AUSTRALIA PTY LTD,19090853080,Satellite communications,Satellites,4600001156,8-Feb-18,1-Jan-18,31-Dec-20,"67,846,830.44"
Department of Defence,CN3483264,,ROY MORGAN RESEARCH LTD,91007092944,Defence Census 2019,Employment services,4600001155,8-Feb-18,18-Jan-18,30-Apr-20,"1,043,894.50"
Department of Defence,CN3483265,SON867801,TALENT INTERNATIONAL(ACT) PTY LTD,95121819305,Specialised Infrastructure Engineering and Security Analyst Services,System administrators,4600001125,8-Feb-18,15-Jan-18,30-Jun-18,"583,076.38"
Department of Defence,CN3483266,SON3413842,TERRA SCHWARTZ PTY.LTD.,74616885217,Procurement strategy development,Management advisory services,4501038830,8-Feb-18,19-Jan-18,31-May-18,"602,395.20"
Department of Defence,CN3483267,,BURSWOOD ENTERTAINMENT CENTRE,35491489282,Conference venue & hospitality,Conference centres,4501038829,8-Feb-18,19-Jan-18,2-Feb-18,"27,315.01"
Department of Defence,CN3483268,,AUSTRALIAN TRAINING ORGANISATION,14153404481,Aerodrom Reporting Officer Course,Education and Training Services,4501038826,8-Feb-18,19-Jan-18,23-Mar-18,"20,000.00"
Department of Defence,CN3483269,SON3319689,CALTEX AUSTRALIA PETROLEUM P / L,17000032128,GROUND FUEL,Fuels,4501038823,8-Feb-18,19-Jan-18,14-Feb-18,"104,507.17"
Department of Defence,CN3483270,,ATALE PROPERTY SERVICES PTY LTD,91166456864,"Building refurbishment, replace old damaged carpets, new sound proofing to windows, demolition",Components for information technology or broadcasting or telecommunications,4501038822,8-Feb-18,19-Jan-18,25-Jan-18,"35,130.00"
Department of Defence,CN3483271,SON3319689,CALTEX AUSTRALIA PETROLEUM P / L,17000032128,GROUND FUEL,Fuels,4501038819,8-Feb-18,19-Jan-18,5-Feb-18,"15,612.51"
Department of Defence,CN3483272,SON2233911,SIMON NATIONAL CARRIERS,24009898159,TRANSPORT SERVICES,Transport operations,4501038817,8-Feb-18,19-Jan-18,31-Mar-18,"36,960.00"
Department of Defence,CN3483273,,DATA #3 LTD,31010545267,Procurement of PRTG Software from Paessler with 3 years maintenance for the MER WAN/BAN Project,Software,4501038814,8-Feb-18,22-Jan-18,1-Feb-18,"28,758.73"
Department of Defence,CN3483274,,FORTBURN PTY LTD,30063304192,Commissioning of the SLAM system,Measuring and observing and testing instruments,4501038809,8-Feb-18,19-Jan-18,31-Mar-18,"25,533.20"
Department of Defence,CN3483275,,QUID INC,ABN Exempt,The Quid Intelligence Platform Web-based Software,Software,4501038808,8-Feb-18,19-Jan-18,20-Feb-19,"61,759.00"
Department of Defence,CN3483276,,BIRUBI AUSTRALIA PTY LTD,12164458628,Construction Works,Building construction and support and maintenance and repair services,4501038806,8-Feb-18,19-Jan-18,31-May-18,"263,973.60"
Department of Defence,CN3483277,,DELL AUSTRALIA PTY LTD,46003855561,IT Equipment,Computer Equipment and Accessories,4501038804,8-Feb-18,19-Jan-18,30-Apr-18,"14,025.00"
Department of Defence,CN3483278,,TYRONE ELECTRICAL SERVICES PTY LTD,86075964457,electrical refit to office refurbishment,Components for information technology or broadcasting or telecommunications,4501038796,8-Feb-18,19-Jan-18,20-Jan-18,"20,297.97"
Department of Defence,CN3483279,,MULTISYSTEM COMMUNICATIONS,78652929538,Supply ICT Floor Boxes and cabling,Data Voice or Multimedia Network Equipment or Platforms and Accessories,4501038792,8-Feb-18,6-Dec-17,28-Feb-18,"15,000.00"
Department of Defence,CN3483280,,CANBERRA REGION TOURS,99120395942,GROUND TRANSPORT FOR 2018 AIR POWER CONFERENCE,Travel facilitation,4501038790,8-Feb-18,19-Jan-18,23-Mar-18,"36,300.00"
Department of Defence,CN3483281,,BAE SYSTEMS AUSTRALIA LIMITED,29008423005,Provide Support to JP2047 for transition of AC C2CS Systems,Software or hardware engineering,4501038789,8-Feb-18,19-Jan-18,30-Jun-18,"297,400.07"
Department of Defence,CN3483282,,OCIUS TECHNOLOGY LTD,84087658802,Wizard of AUS (WoA) Bluebottle USV integration,Military science and research,4501038785,8-Feb-18,19-Jan-18,15-Dec-18,"165,000.00"
Department of Defence,CN3483283,SON3413842,DATACOM TSS,84151241253,Security Consulting Services,Professional engineering services,4501038783,8-Feb-18,19-Jan-18,30-Apr-18,"69,300.00"
Department of Defence,CN3483284,,THE UNIVERSITY OF ADELAIDE,61249878937,Graduate Industry Placement,Military science and research,4501038781,8-Feb-18,19-Jan-18,6-Feb-19,"31,659.94"
Department of Defence,CN3483285,SON1598601,EXECUTIVE LEADERSHIP AUSTRALIA P/L,72118959130,Action Learning Groups,Education and Training Services,4501038777,8-Feb-18,19-Jan-18,25-Feb-20,"446,175.53"
Department of Defence,CN3483286,,WE-DO-IT,26071972891,GIA Database Tool,Data services,4501038772,8-Feb-18,19-Jan-18,22-Jan-21,"198,777.50"
Department of Defence,CN3483287,SON48590,KPMG AUSTRALIA,51194660183,Director Project Management and Delivery,Management advisory services,4501038584,8-Feb-18,16-Jan-18,31-Jul-18,"340,072.50"
Department of Defence,CN3483288,SON3319680,VIVA ENERGY AUSTRALIA LTD,46004610459,Marine fuel,Fuels,4501038582,8-Feb-18,16-Jan-18,14-Jul-18,"3,985,977.60"
Department of Defence,CN3483289,,UNIVERSITY OF SOUTH AUSTRALIA,37191313308,Research Agreement,Military science and research,4501038578,8-Feb-18,16-Jan-18,18-May-18,"121,044.25"
Department of Defence,CN3483290,,AGIS GROUP PTY LTD,34129384032,Professional Services,Management advisory services,4501038576,8-Feb-18,16-Jan-18,30-Jun-18,"547,800.00"
Department of Defence,CN3483291,,KING & WOOD MALLESONS,55001462299,DL0420/2017 - Legal Services,Legal services,4501038566,8-Feb-18,16-Jan-18,31-Jul-18,"67,298.29"
Department of Defence,CN3483292,SON2901652,BLUE SWIMMER CONSULTING PTY LTD,92098609217,Computer Modelling,Software or hardware engineering,4501038556,8-Feb-18,16-Jan-18,28-Jun-19,"376,511.26"
Department of Defence,CN3483293,,BROADSPECTRUM (AUSTRALIA) PTY,11093114553,Building Works,Building construction and support and maintenance and repair services,4501038555,8-Feb-18,12-Jan-18,31-May-18,"18,646.10"
Department of Defence,CN3483294,,BROADSPECTRUM (AUSTRALIA) PTY,11093114553,Building Works,Building construction and support and maintenance and repair services,4501038554,8-Feb-18,12-Jan-18,31-May-18,"14,843.27"
Department of Defence,CN3483295,,KEYSIGHT TECHNOLOGIES AUSTRALIA,25167128878,Programmable Microwave Attenuator,Laboratory and scientific equipment,4501038553,8-Feb-18,16-Jan-18,28-Feb-18,"22,663.48"
Department of Defence,CN3483296,,BROOKFIELD JOHNSON CONTROLS P/L,83064638197,Building Works,Building construction and support and maintenance and repair services,4501038552,8-Feb-18,16-Jan-18,31-May-18,"161,703.74"
Department of Defence,CN3483297,,JETBRAINS S.R.O.,ABN Exempt,Software License Renewal,Software,4501038551,8-Feb-18,30-Jan-18,29-Jan-19,"17,885.53"
Department of Defence,CN3483298,,BROOKFIELD JOHNSON CONTROLS P/L,83064638197,Building Works,Building construction and support and maintenance and repair services,4501038550,8-Feb-18,16-Jan-18,31-May-18,"125,433.44"
Department of Defence,CN3483299,,SPOTLESS FACILITY SERVICES PTY LTD,83072293880,Building Works,Building construction and support and maintenance and repair services,4501038548,8-Feb-18,16-Jan-18,31-May-18,"266,631.39"
Department of Defence,CN3483300,,"HITECH GLOBAL DISTRIBUTION, LLC",ABN Exempt,Modules,Military science and research,4501038546,8-Feb-18,16-Jan-18,28-Feb-18,"58,992.20"
Department of Defence,CN3483301,SON1782141,TELSTRA CORPORATION LIMITED,33051775556,Computer Equipment and Accessories,Computer Equipment and Accessories,4501038545,8-Feb-18,9-Jan-18,31-Mar-18,"74,316.85"
Department of Defence,CN3483302,,AGILENT TECHNOLOGIES AUTRALIA PTY,29088510605,Lab Support for Agillent Systems,Professional engineering services,4501038541,8-Feb-18,16-Jan-18,31-Jan-18,"19,360.00"
Department of Defence,CN3483303,SON3295723,HP PPS AUSTRALIA PTY LTD,16603480628,High End Workstation,Scanners,4501038540,8-Feb-18,16-Jan-18,26-Jan-18,"29,372.20"
Department of Defence,CN3483304,SON2901652,THE TRUSTEE FOR THE SELLAR FAMILY,88969936238,Manager of the High Explosive Firing Complex,Management advisory services,4501038538,8-Feb-18,16-Jan-18,30-Jun-18,"66,000.00"
Department of Defence,CN3483305,,LEAP AUSTRALIA PTY LTD,87905032785,Finite Element Modelling Software,Software,4501038535,8-Feb-18,16-Jan-18,24-Jan-18,"88,847.00"
Department of Defence,CN3483306,,POWER AND WATER CORPORATION,15947352360,Power Network Application for Solar Generation - Northern Territory,Environmental management,4501038530,8-Feb-18,15-Jan-18,21-Dec-18,"129,937.50"
Department of Defence,CN3483307,,OPEN ACCESS PTY LTD,97009177986,Computer Servers,Computer servers,4501038527,8-Feb-18,15-Jan-18,4-May-18,"105,567.00"
Department of Defence,CN3483308,,NORTON ROSE FULBRIGHT AUSTRALIA,32720868049,DL0383/2017- Defence Legal,Legal services,4501038525,8-Feb-18,12-Jan-18,31-Dec-20,"41,748.74"
Department of Defence,CN3483309,,ALPHAFIT,96156085193,Physical Conditioning And Injury Management Program,Sports equipment and accessories,4501038524,8-Feb-18,15-Jan-18,31-Aug-18,"84,185.37"
Department of Defence,CN3483310,SON2071251,TRESSCOX LAWYERS,93281528297,Probity Services,Management advisory services,4501038523,8-Feb-18,15-Jan-18,1-Feb-19,"49,482.58"
Department of Defence,CN3483311,,ZANCOTT KNIGHT FACILITIES MANAGEMEN,42607759688,Construction Works,Building construction and support and maintenance and repair services,4501038522,8-Feb-18,15-Jan-18,31-May-18,"812,197.10"
Department of Defence,CN3483312,,NU WAVES LTD.!DBA NUWAVES ENGINEERI,ABN Exempt,Radiofrequency Communications Equipment,Communications Devices and Accessories,4501038589,8-Feb-18,17-Jan-18,28-Feb-18,"18,428.88"
Department of Defence,CN3483313,,CLAYTON UTZ,35740217343,Professional Legal Services,Legal services,4501038653,8-Feb-18,17-Jan-18,21-Jul-18,"265,739.96"
Department of Defence,CN3483314,,QINETIQ,68125805647,Correlation Analysis - Hull Fatigue Damage,Professional engineering services,4501038648,8-Feb-18,17-Jan-18,31-May-18,"41,030.62"
Department of Defence,CN3483315,,DATACAT COMMUNICATIONS,89153895375,Aspirin Data Cabling to Building,Network security equipment,4501038638,8-Feb-18,17-Jan-18,26-Jan-18,"42,603.00"
Department of Defence,CN3483316,,THE UNIVERSITY OF QUEENSLAND,63942912684,Fuel System Provision,Professional engineering services,4501038635,8-Feb-18,17-Jan-18,30-Mar-18,"20,076.98"
Department of Defence,CN3483317,,COBS TELSTRA,33051775556,SDM Terrestrial Communications Network and Cabling,Computer Equipment and Accessories,4501038634,8-Feb-18,30-Nov-17,31-Jan-18,"46,259.40"
Department of Defence,CN3483318,SON3319689,CALTEX AUSTRALIA PETROLEUM P / L,17000032128,DIESEL  FUEL,Fuels,4501038631,8-Feb-18,17-Jan-18,1-Feb-18,"34,624.80"
Department of Defence,CN3483319,,RSKHOSA,85560565739,Political Science Analysis,International relations,4501038629,8-Feb-18,17-Jan-18,29-Jun-18,"84,794.00"
Department of Defence,CN3483320,SON2378362,DYNAMA SOLUTIONS PTY LTD,74615793710,MAPS RAAF Continuous Support Additional Resources,Professional procurement services,4501038628,8-Feb-18,17-Jan-18,19-Jul-18,"673,200.00"
Department of Defence,CN3483321,,PARAKEELYA PTY LTD,88611581303,Construction Works,Building construction and support and maintenance and repair services,4501038627,8-Feb-18,17-Jan-18,31-May-18,"102,797.20"
Department of Defence,CN3483322,SON661641,DELL AUSTRALIA PTY LTD,46003855561,Server Hardware,Computer servers,4501038626,8-Feb-18,17-Jan-18,31-Jan-18,"114,765.17"
Department of Defence,CN3483323,,DIMENSION DATA AUSTRALIA PTY,65003371239,Plan Jericho - Dimension Data Hardware,Electronic hardware and component parts and accessories,4501038625,8-Feb-18,17-Jan-18,30-Mar-18,"86,868.67"
Department of Defence,CN3483324,,HAYS SPECIALIST RECRUITMENT,47001407281,Project Support,Building construction and support and maintenance and repair services,4501038624,8-Feb-18,17-Jan-18,30-Jun-19,"232,100.00"
Department of Defence,CN3483325,SON661641,FUJITSU AUSTRALIA LIMITED,19001011427,Cisco Line Card,Data Voice or Multimedia Network Equipment or Platforms and Accessories,4501038622,8-Feb-18,17-Jan-18,28-Feb-19,"25,029.57"
Department of Defence,CN3483326,,ASD TECHNOLOGY PTY LTD,94096034150,Microwave Antenna,Laboratory and scientific equipment,4501038618,8-Feb-18,17-Jan-18,31-May-18,"33,368.50"
Department of Defence,CN3483327,,JOHN MORRIS SCIENTIFIC PTY LTD,81001768396,New Hydraulic System Components,Laboratory and scientific equipment,4501038612,8-Feb-18,17-Jan-18,31-May-18,"93,996.10"
Department of Defence,CN3483328,,INDIAN OCEAN OIL COMPANY PTY LTD,67077514642,Marine fuel,Fuels,4501038611,8-Feb-18,17-Jan-18,21-Jan-18,"32,905.00"
Department of Defence,CN3483329,,MINTER ELLISON,91556716819,DL0004/2018 - Defence Legal,Legal services,4501038605,8-Feb-18,17-Jan-18,28-Feb-18,"21,005.00"
Department of Defence,CN3483330,SON3311885,RIETHMULLER & ASSOCIATES,81129568172,Psychology services,Psychologists services,4501038602,8-Feb-18,17-Jan-18,30-Jun-18,"10,000.00"
Department of Defence,CN3483331,SON3319689,CALTEX AUSTRALIA PETROLEUM P / L,17000032128,GROUND FUEL,Fuels,4501038601,8-Feb-18,17-Jan-18,5-Feb-18,"13,409.68"
Department of Defence,CN3483332,,INFRATHERM PTY LTD,99075086896,Scientific Equipment,Laboratory and scientific equipment,4501038600,8-Feb-18,17-Jan-18,31-May-18,"42,317.26"
Department of Defence,CN3483333,,KEYSIGHT TECHNOLOGIES AUSTRALIA,25167128878,Scientific Instruments,Measuring and observing and testing instruments,4501038597,8-Feb-18,17-Jan-18,28-Feb-18,"449,441.89"
Department of Defence,CN3483334,,DATAPOD,66126793860,Connection Node & Service Bridge combination,Software,4501038596,8-Feb-18,17-Jan-18,29-Jan-18,"59,400.00"
Department of Defence,CN3483335,,QUEENSLAND UNIVERSITY OF,83791724622,Collaborative Agreement in Uncertainty,Military science and research,4501038593,8-Feb-18,17-Jan-18,22-May-20,"341,028.60"
Department of Defence,CN3483336,,TRUSTEE FOR SOUTHPAC AEROSPACE TRUS,84282447175,Lead Auditors Courses,Education and Training Services,4501038591,8-Feb-18,29-Jan-18,30-Jun-18,"33,400.00"
Department of Defence,CN3483337,,UNIVERSITY OF ADELAIDE,61249878937,Research and Development Agreement,Military science and research,4501038590,8-Feb-18,22-Jan-18,31-May-18,"196,771.30"
Department of Defence,CN3483340,,KPMG AUSTRALIA,51194660183,Provision of Project Support Services by KPMG from 1 Jul - 31 Dec 17.,Project management,4501028298,8-Feb-18,24-Jan-18,30-Mar-18,"20,000.00"
Department of Defence,CN3483341,,JR GLOBAL LOGISTICS PTY LIMITED,53063211129,Freight Services,Freight forwarders services,4501027872,8-Feb-18,25-Jan-18,30-Apr-18,"35,000.00"
Department of Defence,CN3483342,SON867801,AJILON PTY LTD,14007145637,Navy Information Management System Support Service,Software maintenance and support,4501027823,8-Feb-18,25-Jan-18,30-Jun-18,"165,000.00"
Department of Defence,CN3483343,,DUCON BUILDING SOLUTIONS,79150941174,Fire Safety Works,Building construction and support and maintenance and repair services,4501027237,8-Feb-18,23-Jan-18,31-May-18,"16,241.94"
Department of Defence,CN3483344,SON3423615,BIDFOOD AUSTRALIA LIMITED,33000228231,PURCHASE OF GROCERIES,Food and Beverage Products,4501027025,8-Feb-18,2-Feb-18,30-Jun-18,"230,000.00"
Department of Defence,CN3483345,,JERVIS BAY TERRITORY ADMINISTRATION,86267354017,Utilities Services,Water and sewer utilities,4501026710,8-Feb-18,30-Jan-18,30-Jun-18,"28,000.00"
Department of Defence,CN3483346,SON3392152,E M L MARKETING PTY LTD,93088974725,EML MARKETING TAILORING SERVICE RAAF BASE TINDAL,Sewing supplies and accessories,4501026456,8-Feb-18,2-Feb-18,30-Jun-18,"83,800.00"
Department of Defence,CN3483347,,NOVA DEFENCE PTY LTD,33163511304,Contractor Support to JNT9101-1 for Project Management,Project administration or planning,4501026364,8-Feb-18,30-Jan-18,1-Nov-18,"2,441,006.67"
Department of Defence,CN3483348,,FINITE IT RECRUITMENT SOLUTIONS,43085406300,Project Manager,Management advisory services,4501026166,8-Feb-18,11-Sep-17,28-Feb-18,"187,110.00"
Department of Defence,CN3483349,SON3423615,AUSTRAL MEAT,61008112972,Supply of meat,Meat and poultry products,4501025840,8-Feb-18,17-Jan-18,30-Sep-18,"30,000.00"
Department of Defence,CN3483350,,COMCAR,61970632495,PO for Comcar for all Ministers,Taxicab services,4501025692,8-Feb-18,29-Jan-18,30-Jun-18,"50,000.00"
