"","Category","kf25","kf50","kf100","kfit100.sp$cluster","kfit150.sp$cluster","kfit150$cluster","kfit250$cluster","kfit250.sp$cluster"
"507","pianos",7,2,8,35,110,15,34,165
"508","mattresses or sleep sets",23,12,53,41,87,20,12,20
"509","military transport aircraft",23,25,3,33,4,149,230,232
"510","armoured fighting vehicles",23,12,79,41,43,95,45,55
"511","adhesives and sealants",14,36,89,86,137,16,71,150
"512","webbing fabrics",14,36,89,60,91,16,60,205
"513","safety harnesses or belts",23,12,18,96,23,70,41,167
"514","lubricants and oils and greases and anti corrosives",16,16,42,62,64,57,224,127
"515","gaseous fuels and additives",23,12,53,21,56,20,12,41
"516","safety helmets",14,36,21,21,91,72,96,135
"517","minerals and ores and metals",23,12,53,26,41,20,38,205
"518","luggage and handbags and packs and cases",25,20,35,62,64,32,210,127
"519","connectors",7,2,8,86,137,15,34,150
"520","ski boots",14,36,89,86,137,16,71,99
"521","military transport helicopters",23,12,33,12,5,149,51,232
"522","lithium batteries",14,36,89,54,137,16,71,85
"523","slings",7,2,8,86,137,15,34,150
"524","military rotary wing aircraft",25,20,35,62,46,32,186,190
"525","workshop machinery and equipment and supplies",6,32,29,23,54,102,180,226
"526","filters",7,2,8,86,137,15,18,150
"527","helmet parts or accessories",18,30,48,9,96,11,176,235
"528","goggle protective covers",23,12,53,41,23,20,65,175
"529","axle spindles",14,36,89,86,137,16,71,150
"530","radio antennas",14,36,89,21,91,16,71,205
"531","filter cartridge adapter",23,12,53,41,87,20,12,20
"532","professional associations",14,36,1,21,91,16,239,205
"533","military watercraft",14,36,89,21,106,74,130,4
"534","military uniforms",14,36,89,21,106,74,130,4
"535","drugs and pharmaceutical products",23,12,46,36,150,119,198,42
"536","chemicals including bio chemicals and gas materials",5,18,41,32,68,42,23,244
"537","photographic services",10,46,54,92,99,51,109,1
"538","paints and primers and finishes",23,12,53,41,87,20,161,20
"539","microphones",7,2,8,35,110,15,34,165
"540","pocket knives",14,36,89,86,137,16,71,150
"541","batteries and cells and accessories",18,30,48,9,119,110,176,235
"542","explosive initiators",14,36,89,86,137,16,71,150
"543","parachute equipment",14,10,86,81,75,148,200,195
"544","protective coveralls",14,36,65,19,118,16,243,6
"545","gas regulators",14,36,89,21,112,16,66,188
"546","aerospace systems and components and equipment",11,32,90,75,36,88,10,125
"547","exterior vehicle lighting",23,12,79,41,43,95,69,55
"548","all terrain vehicles tracked or wheeled",25,20,35,41,43,32,210,55
"549","navigational equipment and instruments",19,6,87,20,3,17,47,247
"550","motor or generator components",23,12,53,41,87,87,167,239
"551","inspecting jig",14,36,89,21,91,16,71,205
"552","radar and sonar systems and components",25,47,7,13,133,12,181,220
"553","badges",7,2,8,86,137,15,34,150
"554","receiving or inventorying services",1,50,31,98,149,80,119,106
"555","medical apparel and textiles",23,12,53,89,87,123,94,237
"556","diagnostic agents and radiopharmaceuticals",23,12,53,41,87,20,12,20
"557","medical units",14,36,58,21,83,16,216,111
"558","spill containment supports",23,12,6,41,87,21,125,20
"559","aircraft flaps or flap drives",4,48,55,97,6,126,17,114
"560","tool kits",14,36,60,44,18,89,73,117
"561","alternators",7,2,8,86,137,15,34,150
"562","power distribution units pdus",25,20,35,41,147,14,128,169
"563","badges or badge holders",16,16,42,47,66,57,224,62
"564","aircraft ailerons",14,23,60,27,71,91,223,156
"565","electrical components",14,36,37,2,32,16,106,186
"566","lighting and fixtures and accessories",18,30,48,9,119,11,176,235
"567","flashlights",7,2,8,35,110,15,34,165
"568","fluorescent dyes",14,36,89,21,91,16,71,205
"569","fans",7,2,8,86,137,103,171,150
"570","laboratory washing and cleaning equipment",11,32,20,75,36,88,33,58
"571","radio frequency transmitters or receivers",25,20,35,41,87,32,210,20
"572","sealing tools",14,36,60,21,134,89,108,82
"573","winches",7,2,8,35,110,15,34,165
"574","radarbased surveillance systems",17,27,100,53,82,150,241,161
"575","light weapons and ammunition",23,12,53,41,87,76,40,20
"576","parts of guns or pistols",23,12,53,21,91,20,12,205
"577","sealing waxes",14,36,89,21,91,16,71,205
"578","automotive or aircraft cable",23,25,3,33,4,131,97,158
"579","medical health associations",23,12,53,89,87,123,94,237
"580","tyres and tyre tubes",16,16,42,47,66,57,224,62
"581","war vehicles",14,7,62,21,122,84,81,137
"582","packing absorbents",14,36,89,21,91,16,71,205
"583","heavy truck tyres",23,12,53,41,87,20,12,136
"584","camouflage cloth",14,36,89,68,137,16,71,242
"585","lifeboats or liferafts",14,36,89,35,110,16,71,165
"586","leather accessories",13,5,24,58,146,69,222,248
"587","boots",7,2,8,86,137,15,34,99
"588","completion test equipment",19,6,87,20,3,17,47,247
"589","protective socks or hosiery",23,12,53,19,118,20,65,6
"590","sewing kits",14,36,60,44,18,64,73,17
"591","clipboards",7,2,8,35,110,15,34,165
"592","gear units",14,36,89,21,83,16,216,41
"593","canteen",7,2,8,35,110,15,34,165
"594","laboratory washing detergents",23,12,53,21,91,20,12,205
"595","shoe insoles",14,36,89,86,137,16,71,150
"596","intravenous or arterial infusion single port bags or containers",5,18,80,57,14,71,54,51
"597","intravenous or arterial infusion transfer bags or containers",4,48,55,5,94,126,17,90
"598","patient masks for surgical use",25,20,35,62,64,32,210,127
"599","suture and surgical tissue closure instruments and related products",5,18,80,5,94,71,54,243
"600","surgical drapes",14,36,89,86,137,16,71,150
"601","wound care products",23,12,46,38,21,119,198,171
"602","medical staff isolation or surgical masks",16,16,42,47,66,57,224,62
"603","battery chargers",14,36,89,54,137,16,71,85
"604","industrial food and beverage equipment",11,32,20,75,36,88,159,58
"605","airway management products",23,12,46,36,150,119,198,42
"606","pharmaceutical preparation services",1,50,31,98,149,80,119,106
"607","medical staff clothing and related articles",16,16,42,47,66,57,224,62
"608","sunglasses",7,2,8,35,110,15,34,165
"609","goggles",7,2,8,86,137,15,34,150
"610","vaccines and antigens and toxoids",23,12,53,21,124,105,12,131
"611","public address systems",17,27,100,13,92,150,241,220
"612","water bags",14,36,89,45,122,132,104,78
"613","pharyngeal airways",14,36,89,86,137,16,71,150
"614","lifting equipment and accessories",19,6,87,8,144,28,64,43
"615","lifting hooks",14,36,89,86,137,16,71,102
"616","target or reconnaissance drones",23,12,53,21,91,20,12,205
"617","steering system",13,5,16,53,82,86,175,161
"618","deodorants",7,2,8,35,110,15,34,165
"619","medical staff scrubs",23,12,53,21,83,123,94,111
"620","intraoral dental radiographic film",25,20,35,41,87,32,210,20
"621","body armour",14,36,89,21,91,16,71,205
"622","emergency medical services airway management equipment",12,43,72,67,29,99,93,223
"623","couplers",7,2,8,35,110,15,34,165
"624","safety boots",14,36,21,21,91,72,96,135
"625","dental equipment and supplies",19,6,87,82,3,17,16,56
"626","motorcycle helmets",14,36,89,21,91,16,71,205
"627","gloves or mittens",14,36,89,86,137,16,71,150
"628","protective gloves",14,36,65,19,118,16,243,6
"629","brake oil",14,36,89,21,112,64,66,50
"630","sleeping bags",14,36,89,21,91,78,36,205
"631","mechanised ground support system spare parts or accessories",5,18,80,5,94,44,54,191
"632","anti corrosion lubricant",23,12,53,41,87,20,12,20
"633","mens sandals",14,36,89,46,137,83,71,119
"634","mens shoes",14,36,89,88,73,83,71,177
"635","rope climbing equipment",19,6,87,81,75,17,47,195
"636","manual transmissions",14,36,89,21,91,16,71,205
"637","plastic grinding machinery",23,45,93,78,35,1,215,124
"638","restraint straps or buckles or accessories or supplies",16,16,81,51,20,45,70,142
"639","uniforms",7,2,8,86,137,15,34,150
"640","safety apparel",14,36,21,21,91,72,96,135
"641","capillaries or cartridges",14,36,89,86,137,16,71,150
"642","control line protectors",23,12,53,41,87,67,211,175
"643","protective netting",14,36,65,19,118,16,243,6
"644","aircraft spars",14,23,60,27,71,91,223,156
"645","socks",7,2,8,86,137,15,34,150
"646","shoelaces",7,2,8,35,110,15,34,165
"647","chemical evaluation instruments and supplies",25,20,96,23,50,147,25,215
"648","domestic pet products",23,12,46,36,150,119,198,42
"649","specialty fabrics or cloth",23,12,12,28,28,107,14,3
"650","surgical retractors for general use",25,20,35,41,87,32,210,20
"651","anaesthetic drugs and related adjuncts and analeptics",16,16,42,21,91,57,224,205
"652","sun protection products",23,12,46,38,21,119,198,171
"653","ear plugs",14,36,89,86,137,16,71,150
"654","bandages and dressings and related products",25,20,35,62,64,98,173,184
"655","bandages or dressings for general use",25,20,35,62,64,32,210,127
"656","rope bags and rope packs",4,48,55,5,94,126,17,90
"657","shoes",7,2,8,86,137,15,34,150
"658","fuels and fuel additives and lubricants and anti corrosive materials",9,37,41,32,24,42,122,217
"659","fire extinguishers",14,36,89,21,91,16,71,205
"660","deepwell pumps",14,36,89,46,137,16,71,123
"661","lanyards",7,2,8,35,110,15,34,165
"662","aircraft fuel tanks and systems",25,47,7,66,11,34,181,37
"663","engine or component test stands",25,20,35,62,64,32,244,32
"664","specialty aircraft",14,23,60,97,6,91,223,114
"665","flags or accessories",13,5,24,80,131,69,222,73
"666","plastic sheet",14,36,89,21,91,16,71,204
"667","diesel fuel",14,36,82,21,56,132,49,41
"668","compasses",7,2,8,86,137,15,34,150
"669","photo tubes",14,36,89,86,137,16,71,150
"670","fruits and vegetables and nuts and seeds",25,20,35,62,64,32,210,127
"671","alkaline batteries",14,36,89,54,137,16,71,85
"672","fabrics and leather materials",23,35,94,90,81,144,44,185
"673","insulated clothing for cold environments",25,20,35,62,64,32,210,127
"674","whistle",7,2,8,35,110,15,34,165
"675","solvents",7,2,8,35,110,15,34,165
"676","product specific battery packs",25,20,35,62,64,98,173,184
"677","mud cleaning equipment",19,6,87,81,75,17,47,195
"678","conventional weapons usage",23,12,53,21,91,20,12,205
"679","compounds and mixtures",14,36,89,21,91,16,71,205
"680","buckles",7,2,8,86,137,15,34,150
"681","overalls and coveralls",14,36,89,21,91,16,71,205
"682","die cut corrugated shipping cartons with separate lids",5,18,80,47,66,71,54,62
"683","luggage",7,2,8,86,137,15,34,150
"684","power cable",14,21,37,21,49,146,193,216
"685","musical instruments and parts and accessories",25,20,92,50,113,137,177,45
"686","battery testers",14,36,89,21,16,16,71,205
"687","insecticides",7,2,8,35,110,15,34,165
"688","musical instruments and games and toys and arts and crafts and educational equipment and materials and accessories and supplies",9,37,69,69,12,122,192,183
"689","infrared imagers",14,36,89,21,91,16,71,205
"690","synthetic ribbons",14,36,89,21,91,16,71,33
"691","life vests or preservers",23,12,53,41,87,20,12,20
"692","power saws",14,21,37,21,49,138,95,166
"693","kinetic power transmission",23,12,53,41,147,20,12,169
"694","fall protection and rescue equipment",11,32,20,20,3,88,33,247
"695","foaming agents",14,36,89,21,91,16,71,205
"696","breathing apparatus accessories or supplies",25,20,92,50,78,137,238,230
"697","quick disconnects",14,36,89,35,110,16,71,165
"698","shaft or woodruff keys",23,12,53,21,91,20,12,205
"699","casing patches",14,36,89,21,91,16,71,205
"700","anchor nuts",14,36,89,21,91,16,71,205
"701","miscellaneous hardware",14,36,89,21,91,16,71,205
"702","brake drum",14,36,89,21,91,16,71,205
"703","medical or rescue helicopters",23,12,53,89,87,123,94,237
"704","workover boats",14,36,89,21,91,16,71,205
"705","medical training and education supplies",25,20,96,23,50,147,25,215
"706","general purpose refrigerators or refrigerator freezers",5,18,80,57,14,71,54,51
"707","aircraft engine compressors",23,25,3,33,4,59,97,158
"708","chemical adhesives",14,36,89,21,91,16,71,205
"709","arms and ammunition accessories",18,30,48,9,119,11,176,235
"710","patch panel",14,36,89,83,45,16,71,205
"711","inductors",7,2,8,35,110,15,34,165
"712","insect equipment",14,10,86,84,70,148,200,213
"713","flotation aids",14,36,89,86,137,16,71,150
"714","fuel pumps",14,36,82,21,56,132,49,41
"715","reciprocating compressors",14,36,89,86,137,16,71,150
"716","installation cables",14,21,37,21,91,146,193,216
"717","flow sensors",14,36,89,86,137,16,71,150
"718","phone headset ear or speaker cushions",16,16,42,62,64,57,224,127
"719","respirators",7,2,8,86,137,15,34,150
"720","protractors",7,2,8,35,110,15,34,165
"721","weapon system teaching aids or materials",20,4,71,47,107,114,11,49
"722","direction finding compasses",23,12,53,21,91,20,12,205
"723","power sources",14,21,37,21,49,138,95,166
"724","prefabricated structures",14,36,89,21,91,135,148,240
"725","decontamination services",10,46,54,92,99,51,109,1
"726","auxiliary power unit systems apus",20,16,71,13,92,39,212,220
"727","temperature humidity testers",23,12,53,41,87,20,12,20
"728","batteries and generators and kinetic power transmission",16,16,42,47,19,145,224,62
"729","liquid containers",14,36,89,21,91,16,71,205
"730","safety signs",14,36,21,21,91,72,96,135
"731","scouring pads",14,36,89,86,137,16,71,150
"732","container trailers",14,36,89,21,91,16,71,205
"733","axle hubs",14,36,89,21,91,16,71,205
"734","service industry machinery and equipment and supplies",15,8,40,42,76,92,220,180
"735","socio cultural services",1,50,31,98,149,80,119,106
"736","machinery and transport equipment manufacture",6,32,29,75,36,88,250,203
"737","sports and recreational equipment and supplies and accessories",16,16,76,6,2,26,101,52
"738","dairy products and eggs",23,12,46,38,21,119,198,171
"739","bread and bakery products",23,12,46,38,21,119,198,171
"740","domestic and personal assistance",23,12,53,96,109,20,58,93
"741","other sports",7,2,8,86,137,15,184,150
"742","cereal and pulse products",23,12,46,36,150,119,198,42
"743","meat and poultry products",23,12,46,36,150,119,198,42
"744","agricultural and forestry and landscape machinery and equipment",16,16,76,6,1,19,78,25
"745","live animals",14,36,89,21,91,16,71,205
"746","environmental management",14,36,44,31,135,24,237,192
"747","beverages",7,2,8,86,137,15,34,150
"748","satellites",7,2,8,86,137,15,34,150
"749","mining and quarrying machinery and equipment",6,32,29,20,3,88,250,75
"750","seafood",7,2,8,35,110,15,34,165
"751","earth and stone",14,36,89,21,91,16,71,205
"752","bearings and bushings and wheels and gears",25,20,35,41,87,32,210,20
"753","plastic and chemical industries",23,38,52,41,142,27,236,178
"754","footwear",7,2,8,86,137,15,34,150
"755","textile and fabric machinery and accessories",25,20,92,50,113,137,177,45
"756","structural materials and basic shapes",25,20,2,90,81,65,67,185
"757","non edible plant and forestry products",16,16,42,51,104,57,31,65
"758","vehicle rental",14,7,62,21,122,84,81,137
"759","defence contracts",14,36,89,21,91,16,71,205
"760","edible oils and fats",23,12,26,21,112,25,208,50
"761","diving instruments or accessories",18,30,48,58,146,10,176,248
"762","professional artists and performers",23,12,53,21,91,20,12,205
"763","paint booth repair",23,12,53,41,87,20,161,20
"764","air or gas tanks or cylinders",25,20,35,62,64,32,210,198
"765","tailgates or liftgates",14,36,89,35,110,16,71,165
"766","vehicle seating systems",17,27,100,34,92,150,241,164
"767","swim goggles or swim fins",4,48,55,47,66,126,17,62
"768","tanks and cylinders and their accessories",18,30,48,9,119,11,176,235
"769","motorcycle frames",14,36,89,21,91,16,71,205
"770","aircraft oxygen equipment",19,6,87,20,3,17,47,247
"771","rescue ships or boats",23,12,53,41,87,4,12,20
"772","fertilisers and plant nutrients and herbicides",25,20,35,41,87,32,210,20
"773","equipment inspection service",1,33,27,77,17,53,170,35
"774","wrist watches",14,36,89,86,137,16,71,150
"775","commercial marine craft",23,38,53,41,87,54,63,20
"776","motorised cycles",14,36,89,21,91,16,71,205
"777","respiration air supplying self contained breathing apparatus or accessories",5,18,41,32,68,42,23,244
"778","mens swimwear",14,36,89,46,137,83,71,119
"779","backpacks",7,2,8,35,110,15,34,165
"780","form tools or toolbits",22,12,53,21,134,20,218,82
"781","paints and primers",14,36,89,21,91,16,71,205
"782","mens pyjamas or nightshirts or robes",25,20,35,88,73,32,210,177
"783","enamel paints",14,36,89,86,137,16,71,27
"784","brushes",7,2,8,35,110,15,34,165
"785","fibre optic cable assembly",25,20,35,62,64,32,169,170
"786","amphibious assault ships",23,12,53,86,137,20,12,150
"787","motorcycles",7,2,8,86,137,15,34,150
"788","welding wire",14,36,89,21,91,16,71,205
"789","plywood",7,2,8,35,110,15,34,165
"790","hazardous materials cabinets",23,35,94,90,81,144,44,185
"791","pumping units",14,36,89,21,83,16,216,41
"792","front end loaders",23,12,53,86,137,20,12,150
"793","carpentry",7,2,8,86,137,15,34,150
"794","storage chests and cabinets and trunks",25,20,35,40,87,13,232,153
"795","shackles",7,2,8,35,110,15,34,165
"796","international relations",14,36,89,21,91,16,71,205
"797","medical practice",14,36,58,21,83,16,216,111
"798","aircraft equipment",14,24,86,81,75,148,77,195
"799","air transportation support systems and equipment",20,16,76,6,26,19,78,97
"800","patient care and treatment products and supplies",16,16,9,51,104,57,112,65
"801","food and nutrition services",1,50,31,98,149,80,119,106
"802","photographic and recording media",23,12,53,41,87,20,207,20
"803","automotive specialty tools",22,12,53,78,87,20,218,231
"804","development finance",14,36,89,21,91,16,141,84
"805","emergency and field medical services products",15,8,40,18,65,125,52,140
"806","promotional or advertising printing",23,12,53,41,87,136,24,98
"807","farming and fishing and forestry and wildlife contracting services",12,43,72,18,65,23,93,157
"808","permanent information technology networking specialists",3,16,45,47,85,9,155,89
"809","brand marketing or advertising instructional materials",16,4,42,47,107,114,11,49
"810","project administration or planning",23,12,53,41,87,97,79,118
"811","economic or financial evaluation of projects",25,20,35,62,64,32,210,127
"812","banking institutions",14,36,89,21,91,16,71,205
"813","radio advertising",14,41,89,21,136,121,206,202
"814","insurance coverage or insurance comparison instructional materials",5,18,41,11,40,42,23,90
"815","computer or network or internet security",25,20,35,1,44,129,50,222
"816","public enterprises management or financial services",15,9,40,18,65,18,145,81
"817","facsimile machines",14,36,88,24,48,113,21,113
"818","advertising campaign services",1,50,31,98,149,80,219,106
"819","classroom and instructional and institutional furniture and fixtures",16,16,42,47,66,57,224,62
"820","toxic and hazardous waste cleanup",25,20,35,7,67,32,210,143
"821","earth science services",1,50,31,98,149,80,119,106
"822","mining and oil and gas services",2,13,68,94,63,101,221,88
"823","laboratory supplies and fixtures",23,30,19,63,145,36,248,162
"824","economics",7,2,8,86,137,15,34,150
"825","merchandising furniture and accessories",18,30,48,9,119,11,176,235
"826","fire alarm maintenance or monitoring",25,20,35,62,64,129,187,127
"827","audio visual technology",23,12,53,41,87,20,12,20
"828","cameras",7,2,8,86,137,15,184,102
"829","cable laying",14,21,37,93,137,146,193,173
"830","painting services",10,46,54,92,99,51,109,1
"831","surveillance or alarm maintenance or monitoring",25,20,35,62,64,129,187,127
"832","textbook or research publishing",23,12,53,89,116,134,149,116
"833","environmental security control services",2,40,68,94,63,101,221,189
"834","industrial vocational training services",2,13,11,87,63,50,160,148
"835","radio or television manufacture services",2,13,68,94,63,101,221,189
"836","national security",14,36,89,21,91,118,26,6
"837","electronic catalogues",14,36,66,86,137,16,55,150
"838","physical and occupational therapy and rehabilitation products",16,16,42,51,104,57,31,65
"839","sculptures",7,2,8,86,137,15,34,150
"840","telecommunications vocational training services",2,13,11,87,63,50,160,148
"841","lawnmowers",7,2,8,35,110,15,34,165
"842","media storage",14,22,61,22,89,93,168,115
"843","outdoor furniture",14,22,84,21,91,141,99,147
"844","electromechanical services",10,46,54,72,58,51,109,60
"845","telecommunications planning services",1,50,99,98,149,80,164,108
"846","temporary manual labour",23,12,53,79,87,20,12,238
"847","power generation control equipment",11,32,20,75,36,88,33,58
"848","scissor lift",14,36,89,21,91,16,71,205
"849","contractors all risks insurance",23,12,53,21,91,20,12,205
"850","pest control",14,36,89,16,90,8,37,100
"851","labelling tapes",14,36,89,21,91,108,121,205
"852","lawn care services",1,50,31,92,99,80,119,1
"853","water testing and conservation and ecology",25,20,15,1,64,116,196,120
"854","topsoil",7,2,8,35,110,15,34,165
"855","miscellaneous drug categories",23,12,53,21,91,20,12,205
"856","heating and ventilation and air circulation",25,20,35,62,64,32,210,198
"857","medical diagnostic imaging and nuclear medicine products",4,48,55,5,94,126,17,243
"858","medical sterilisation products",23,12,46,36,150,119,198,42
"859","fire protection",14,36,65,19,118,16,243,6
"860","water resources development and oversight",25,20,15,1,64,116,196,120
"861","water and wastewater treatment supply and disposal",16,16,9,23,50,57,112,215
"862","plumbing fixtures",14,36,89,21,91,16,71,205
"863","trade policy and regulation",23,12,53,41,87,20,12,20
"864","packing supplies",14,36,37,65,128,6,246,206
"865","developmental and professional teaching aids and materials and accessories and supplies",5,18,80,11,40,44,150,191
"866","medical science research and experimentation",25,20,35,62,64,143,2,127
"867","horticulture",7,2,8,35,110,15,34,165
"868","permanent structures",14,36,89,21,91,135,148,240
"869","cemetery upkeep services",1,50,31,72,58,80,119,60
"870","pollution tracking and monitoring and rehabilitation",25,20,35,62,64,32,210,127
"871","concrete and cement and plaster",23,12,53,41,87,20,12,20
"872","geographic information system gis services",15,15,40,37,117,41,132,22
"873","water quality assessment services",2,40,68,94,47,142,153,88
"874","crop production and management and protection",25,20,35,36,150,98,173,42
"875","environmental advisory services",1,50,31,70,149,63,119,5
"876","environmental impact assessment",23,12,53,21,115,20,12,176
"877","feasibility studies or screening of project ideas",16,16,42,41,87,57,224,20
"878","methodology and analysis",14,36,89,86,137,16,118,150
"879","environmental monitoring",14,36,89,21,115,78,46,176
"880","environmental safety services",1,50,31,70,149,63,119,5
"881","environment planning",14,36,89,21,86,16,71,205
"882","land and soil preparation and management and protection",16,16,42,47,66,57,224,62
"883","livestock management",14,36,44,31,135,24,237,192
"884","development environment software",23,14,51,71,105,82,205,179
"885","environmental standards",14,36,89,21,115,78,46,176
"886","pesticides pollution assessment",23,12,53,21,91,20,12,205
"887","fuel oils",14,36,82,21,56,132,49,50
"888","helicopter services",10,46,54,92,99,51,109,1
"889","refrigerated storage",14,22,61,22,89,93,168,115
"890","camera based vision systems for automated data collection",5,18,80,57,14,71,54,51
"891","communication satellites",14,36,89,21,91,16,71,205
"892","produced water treating equipment",11,32,20,20,3,88,33,247
"893","forest conservation strategy planning",25,20,35,62,64,32,210,127
"894","underwater cameras",14,36,89,86,137,16,71,102
"895","transportation related equipment and instruments",11,32,20,75,36,88,33,58
"896","stevedoring services",10,46,54,72,58,51,109,60
"897","sales and marketing software",23,14,51,71,105,82,205,179
"898","printer and photocopier and facsimile accessories",25,20,92,50,113,137,177,45
"899","newspapers",7,2,8,86,137,15,34,150
"900","freight forwarders services",1,50,31,92,99,80,119,1
"901","cruise ships",14,36,89,86,137,16,71,150
"902","commercial passenger jet aircraft",25,20,35,62,46,32,186,190
"903","official gift services",1,50,31,72,58,80,119,60
"904","post office",14,36,89,21,93,16,163,147
"905","building construction machinery and accessories",25,20,92,50,113,137,177,45
"906","security systems services",1,50,99,37,117,63,90,22
"907","marquees",7,2,8,35,110,15,34,165
"908","electronic copyboards or accessories",18,30,48,58,146,11,176,248
"909","blinds and shades",14,36,89,21,91,16,71,205
"910","speed stoppers",14,36,89,86,137,16,71,150
"911","banners",7,2,8,86,137,15,34,150
"912","planes",7,2,8,35,110,15,34,165
"913","cultural events organisations",23,12,53,41,87,33,80,20
"914","permanent technical staffing needs",25,20,35,62,72,32,22,127
"915","media studies",14,36,89,21,91,16,71,205
"916","short message service centre",2,13,68,98,149,101,221,106
"917","recreational sailboats",14,36,89,86,137,16,71,150
"918","talent or entertainment",14,36,89,86,137,16,71,150
"919","logistics",7,2,8,86,137,15,34,150
"920","chartered bus services",1,50,31,98,149,80,119,106
"921","busses",7,2,8,35,110,15,34,165
"922","platform lift",14,36,89,21,91,16,71,205
"923","woven suits or coats or overcoats manufacturing services",12,43,72,94,63,23,93,189
"924","traffic control",14,36,89,16,90,8,37,100
"925","yachts",7,2,8,35,110,15,34,165
"926","radios",7,2,8,86,137,15,34,150
"927","toilet cleaners",14,36,89,21,91,16,71,205
"928","pictures",7,2,8,86,137,15,34,150
"929","manufacture of transport equipment",19,6,87,20,3,17,47,247
"930","hotel rooms",14,36,89,21,91,16,71,205
"931","call centre bureau services",2,13,68,98,149,101,221,106
"932","vouchers",7,2,8,35,110,15,34,165
"933","freestanding lighting or power or data components",16,16,42,47,19,145,61,212
"934","signage",7,2,8,86,137,15,34,150
"935","transcription or translation systems or kits",25,47,7,13,92,12,181,220
"936","cleaning equipment",14,10,86,81,75,148,200,195
"937","blank video tapes",23,12,53,41,87,20,12,20
"938","lighting power supply and control units",16,16,9,51,19,145,112,149
"939","operating lease finance service",2,13,68,94,63,101,221,189
"940","dsl digital subscriber line",25,20,35,21,91,32,210,67
"941","spot chairs",14,36,89,86,137,16,71,150
"942","storage racks or shelves",23,12,57,40,87,55,103,153
"943","neon signs",14,36,89,86,137,16,71,150
"944","temporary human resources services",2,13,68,94,63,101,221,189
"945","printed inserts or instructions",23,12,53,3,140,136,24,59
"946","taxicab services",10,46,54,72,58,51,109,60
"947","business interruption insurance",23,12,53,21,100,20,199,205
"948","temporary legal staffing needs",25,20,35,62,72,32,22,127
"949","psychotherapists services",10,46,54,72,58,51,109,60
"950","court reporting services",1,50,31,98,149,80,119,106
"951","magazines",7,2,8,86,137,15,34,150
"952","furniture manufacturing services",1,50,31,98,149,80,119,168
"953","educational or reference software",23,14,51,71,105,82,205,179
"954","photographers and cinematographers",14,36,89,86,137,16,71,150
"955","audioconferencing systems",13,5,16,25,53,86,175,225
"956","teleconference equipment",14,10,86,84,70,148,200,213
"957","management information systems mis",25,47,7,13,92,12,233,220
"958","online database information retrieval systems",20,16,71,4,11,39,212,101
"959","disaster recovery services",1,50,31,92,99,80,119,1
"960","electric utilities",14,36,37,2,91,16,141,186
"961","real estate management services",2,13,68,94,25,30,221,68
"962","oil and gas utilities",23,12,26,17,111,25,208,227
"963","passenger road transportation",23,12,33,12,5,149,51,200
"964","land tax",14,36,89,21,91,16,152,23
"965","water and sewer utilities",23,12,53,64,9,54,12,39
"966","trade shows and exhibits",23,12,53,41,87,20,12,20
"967","development software",14,39,95,91,126,62,39,126
"968","system administrators",13,5,16,53,82,86,175,161
"969","removable storage media",23,12,57,40,87,55,103,153
"970","security or access control systems",25,47,7,66,11,31,181,101
"971","manufacturing technologies",14,36,89,21,91,16,71,205
"972","doors and windows and glass",23,12,53,41,87,20,12,20
"973","fire prevention",14,36,89,21,91,16,71,205
"974","microfilm equipment and supplies",19,6,87,82,3,17,16,56
"975","building support services",1,50,31,14,55,80,158,168
"976","awards",7,2,8,86,137,15,34,150
"977","mobile communications services",1,50,31,98,149,80,119,106
"978","promotional services",10,46,54,92,99,51,109,1
"979","parks management or maintenance services",8,13,13,94,25,30,89,69
"980","civil engineering",14,42,84,21,95,64,141,31
"981","parking lot or road sweeping services",15,8,40,94,63,18,120,189
"982","screens",7,2,8,86,137,15,34,150
"983","storm water drainage",23,12,53,46,39,54,12,64
"984","special purpose telephones",23,12,53,41,87,20,167,20
"985","valve actuators",14,36,89,21,91,16,71,205
"986","flagpoles or parts or accessories",18,30,48,58,146,11,176,248
"987","tree surgery services",1,50,31,92,99,80,119,1
"988","land use planning",23,12,53,41,87,97,79,118
"989","land surveying",14,36,89,21,91,16,152,23
"990","visual art services",1,50,31,98,149,80,88,12
"991","traffic engineering",14,42,84,21,95,64,141,31
"992","playground equipment",14,10,86,81,75,148,200,195
"993","irrigation pipes or tubes",23,12,53,41,87,20,12,20
"994","typesetting",7,2,8,35,110,15,34,165
"995","restoration of buildings or landmarks or monuments",25,20,35,62,64,32,210,127
"996","reinsurance services",10,46,54,72,58,51,109,60
"997","conference or non modular room packages",16,16,42,47,66,57,224,62
"998","parking fees",14,36,89,21,91,16,71,205
"999","data archiving services",1,50,31,98,149,80,119,106
"1000","lifts",7,2,8,86,137,15,34,102
"1001","exhibitions",7,2,8,86,137,15,34,150
"1002","land leases",14,36,89,21,91,16,152,23
"1003","technical diagrams or drawings",23,12,53,86,137,20,12,150
"1004","metallurgical machinery or equipment manufacture services",15,8,40,10,139,92,220,209
"1005","finish carpentry or cabinetry",23,12,53,41,87,20,12,20
"1006","mint coin collections",23,12,53,21,91,20,12,205
"1007","supply of natural gas",23,30,19,63,145,36,248,162
"1008","press release services",1,50,31,92,99,80,119,1
"1009","refining metal services",1,50,31,98,149,80,119,106
"1010","industrial process machinery and equipment and supplies",16,16,76,6,2,26,101,28
